 
"ProductId","Category","ProductName","CostPrice","SellingPrice","MRP","Measurement","GST","Stock"
"27","2","2.00 manilla delight","106.67","119.47","0","BAG","5","100"
"28","2","12.00 healthy special","16.74","18.92","12","NO","8","100"
"29","2","5.00 manila delight jar","4.95","5.2","200","NO","5","100"
"30","2","5.00 B. Sesame cake jar","11","11.55","200","NO","5","100"
"31","2","15.00 puffy laddu ","8.51","10.04","15","NO","5","100"
"33","2","15.00 big pori cake","7.62","9.53","15","NO","5","100"
"34","2","24.00 special cake ","268.8","282.24","24","NO","5","100"
"35","2","24.00 nice cake ","29.72","31.5","24","NO","5","100"
"36","2","24.00 food ball b seasame","27.14","28.77","24","NO","5","100"
"37","2","24.00 foodball w seasame ","26.25","27.82","24","NO","5","100"
"38","2","24.00 foodball manila ","64.8","71.28","24","NO","5","100"
"39","2","12.00 mini b seasame cake ","132","151.8","12","NO","5","100"
"40","2","12.00 mini coco cake ","18.48","19.4","12","NO","5","100"
"41","2","5.00 sweet mittai jar","95.24","104.75","5","NO","5","100"
"42","3","500gm atta","23.73","24","31","NO","5","100"
"43","3","1kg atta","46.32","57","57","NO","5","100"
"45","1","happy happy","108.01","118.81","5","BAG","5","100"
"47","1","12","0","0","0","","","100"
"48","1","food analaysis","0","52","85","Mtr","8","100"
"49","1","Test course","0","0","0","","","100"
"42","3","500gm atta","23.73","24","31","NO","5","20"
